epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
46,1104.34,1.05314,1.91047,0.47336,0.52474,0.02709,15.6626,0.90028,0.94583,0.98172,0.72473,0.84953,0.91412,0.91808,0.1081,1.03456,3.99821,0.51328,0.45603,0.04411,0,0.008515,0.008515,0.008515
47,1127.99,1.08918,1.93499,0.47066,0.54465,0.02762,15.7141,0.91873,0.96905,0.98042,0.75628,0.89168,0.94078,0.94833,0.11262,0.88625,4.15553,0.48115,0.47498,0.03808,0,0.008482,0.008482,0.008482
48,1152.03,1.087,1.84009,0.46229,0.53764,0.02721,15.5283,0.87407,0.92551,0.96103,0.64843,0.88203,0.94286,0.9656,0.11378,1.24021,4.05301,0.51012,0.61142,0.05151,0,0.008449,0.008449,0.008449
49,1175.44,1.06776,1.86212,0.46857,0.50582,0.02767,15.5499,0.91875,0.94286,0.97427,0.72568,0.91875,0.94286,0.97427,0.11511,0.98087,4.10413,0.39123,0.46791,0.04111,0,0.008416,0.008416,0.008416
50,1199.24,1.07936,1.99341,0.4593,0.50538,0.02675,15.2906,0.90656,0.9619,0.97503,0.75189,0.87013,0.92381,0.91284,0.10274,0.86939,4.17968,0.3596,0.44237,0.03686,0,0.008383,0.008383,0.008383
51,1224.27,1.06073,1.85367,0.46858,0.51343,0.02687,15.425,0.90047,0.91429,0.96918,0.74352,0.88171,0.89524,0.93508,0.10096,0.89015,4.2839,0.39269,0.52274,0.0382,0,0.00835,0.00835,0.00835
52,1248.47,1.06072,1.9182,0.46939,0.51683,0.02701,15.1454,0.95796,0.93333,0.98136,0.76183,0.95796,0.93333,0.98136,0.1175,0.8149,3.96557,0.64711,0.37861,0.03428,0,0.008317,0.008317,0.008317
53,1272.25,1.03764,1.90428,0.45934,0.49755,0.02605,15.0778,0.89259,0.94975,0.97008,0.75864,0.88364,0.94023,0.95949,0.11819,0.85905,3.85703,0.35046,0.49603,0.03592,0,0.008284,0.008284,0.008284
54,1295.74,1.02114,1.90018,0.464,0.50173,0.02585,15.1126,0.92539,0.94502,0.9818,0.76609,0.90681,0.92675,0.96236,0.11932,0.85745,4.02372,0.42799,0.43224,0.03647,0,0.008251,0.008251,0.008251
55,1320.61,1.03373,1.74391,0.45807,0.50028,0.02624,14.9129,0.86583,0.98339,0.97489,0.80342,0.85813,0.98095,0.96923,0.11847,0.72734,3.93262,0.46437,0.3903,0.03023,0,0.008218,0.008218,0.008218
56,1344.89,1.02114,2.00679,0.44786,0.4718,0.02599,15.35,0.92723,0.97087,0.98393,0.73143,0.92723,0.97087,0.98393,0.11533,1.00785,4.06758,0.38379,0.39589,0.04393,0,0.008185,0.008185,0.008185
57,1368.82,0.99255,1.86627,0.44803,0.46904,0.02542,14.6442,0.95827,0.98095,0.98977,0.79704,0.95827,0.98095,0.98977,0.12172,0.78801,3.98033,0.34463,0.30295,0.03257,0,0.008152,0.008152,0.008152
58,1391.25,0.95564,1.79963,0.44376,0.44475,0.02384,14.3556,0.96829,0.9619,0.98787,0.79202,0.96829,0.9619,0.98787,0.13601,0.81316,3.8372,0.40445,0.30987,0.03357,0,0.008119,0.008119,0.008119
59,1414.99,1.00299,1.92734,0.45472,0.45034,0.02536,15.1081,0.95202,0.94286,0.98258,0.78031,0.93183,0.91429,0.93004,0.1176,0.80531,3.9683,0.30362,0.41869,0.03415,0,0.008086,0.008086,0.008086
60,1438.77,1.0046,1.88843,0.45826,0.49179,0.02563,15.1057,0.98019,0.94269,0.98986,0.82163,0.95955,0.92381,0.96831,0.11252,0.71183,4.19249,0.28601,0.41438,0.02963,0,0.008053,0.008053,0.008053
61,1462.45,0.98658,1.84503,0.44561,0.48392,0.02536,14.9888,0.93799,0.9619,0.98786,0.75663,0.93799,0.9619,0.98778,0.11782,0.90705,3.99709,0.44459,0.46271,0.03863,0,0.00802,0.00802,0.00802
62,1484.64,0.99541,1.85998,0.45351,0.47118,0.02556,15.0422,0.95873,0.92381,0.97474,0.8036,0.94885,0.91429,0.96757,0.12002,0.74193,3.90582,0.35452,0.50381,0.03127,0,0.007987,0.007987,0.007987
63,1508.11,0.95256,1.69634,0.44638,0.45736,0.02423,13.9889,0.96187,0.96113,0.98489,0.80648,0.94804,0.94286,0.97665,0.11745,0.76802,4.03557,0.36377,0.32711,0.03259,0,0.007954,0.007954,0.007954
64,1531.76,0.92561,1.90719,0.44926,0.44276,0.02307,14.6677,0.90861,0.97143,0.9799,0.7569,0.90861,0.97143,0.9799,0.12518,0.84759,3.94024,0.27021,0.42925,0.03512,0,0.007921,0.007921,0.007921
65,1554.57,0.95369,1.84693,0.43554,0.45359,0.02391,14.3425,0.92728,0.9716,0.98057,0.80426,0.92728,0.9716,0.98057,0.12268,0.74511,3.97354,0.38869,0.31964,0.03107,0,0.007888,0.007888,0.007888
66,1577.2,0.9414,1.83732,0.43989,0.45472,0.02384,14.4922,0.92689,0.96598,0.97918,0.79702,0.91778,0.95678,0.96922,0.11769,0.76339,4.05072,0.31529,0.33535,0.03185,0,0.007855,0.007855,0.007855
67,1600.9,0.95611,1.80648,0.43925,0.44207,0.02398,14.3716,0.92584,0.99048,0.98899,0.78929,0.89901,0.9619,0.95568,0.11229,0.83548,4.13721,0.36032,0.3154,0.03583,0,0.007822,0.007822,0.007822
68,1624.38,0.99506,1.86231,0.44553,0.4675,0.02488,14.4314,0.95058,0.91602,0.98189,0.75909,0.9407,0.9065,0.97613,0.11102,0.86144,4.18899,0.52994,0.38319,0.03515,0,0.007789,0.007789,0.007789
69,1646.57,0.96635,1.9193,0.44528,0.44923,0.02441,14.4164,0.94164,0.97143,0.98444,0.7817,0.92281,0.95238,0.95952,0.11319,0.85749,4.15077,0.38247,0.36917,0.03584,0,0.007756,0.007756,0.007756
70,1670.34,0.95455,1.86962,0.43919,0.44599,0.0238,14.1661,0.94476,1,0.98446,0.7727,0.93653,0.97143,0.96983,0.11561,0.88802,4.07974,0.41807,0.40433,0.03749,0,0.007723,0.007723,0.007723
71,1693.78,0.94834,1.79212,0.44006,0.43978,0.0239,14.2927,0.95281,0.96145,0.97092,0.77742,0.93393,0.94241,0.95542,0.11606,0.86299,4.01336,0.30255,0.46131,0.03587,0,0.00769,0.00769,0.00769
72,1716.95,0.95869,1.74505,0.45583,0.43017,0.02416,13.7359,0.96131,0.97143,0.98317,0.78979,0.94296,0.94475,0.96966,0.11522,0.80182,4.05594,0.3602,0.31798,0.03321,0,0.007657,0.007657,0.007657
73,1739.72,0.92957,1.79625,0.43245,0.44261,0.02324,13.6921,0.96252,0.9783,0.98536,0.79891,0.95315,0.96878,0.97837,0.11702,0.80498,4.06037,0.32353,0.31921,0.03344,0,0.007624,0.007624,0.007624
74,1763.01,0.97214,1.8182,0.44496,0.46361,0.02423,13.8953,0.99988,0.89524,0.97294,0.7846,0.97906,0.89058,0.96203,0.11502,0.76407,4.13385,0.34921,0.3825,0.03211,0,0.007591,0.007591,0.007591
75,1786.61,0.96397,1.91451,0.43467,0.48217,0.02469,14.1742,0.96168,0.98095,0.98755,0.8242,0.94439,0.94286,0.97176,0.11633,0.72442,4.05966,0.38358,0.41539,0.02996,0,0.007558,0.007558,0.007558
76,1808.83,0.95501,1.76462,0.43486,0.44564,0.02372,13.5062,0.95259,0.95673,0.98521,0.81813,0.94321,0.94916,0.97992,0.12668,0.71417,3.99449,0.3364,0.37393,0.02996,0,0.007525,0.007525,0.007525
77,1832.72,0.96754,1.75015,0.44704,0.44669,0.02403,13.5744,0.91804,0.97143,0.97638,0.81296,0.90904,0.9619,0.97357,0.12244,0.73662,3.98272,0.50239,0.44123,0.03065,0,0.007492,0.007492,0.007492
78,1856.41,0.96445,1.85069,0.42683,0.45141,0.02405,14.0291,0.95328,0.97167,0.99155,0.79014,0.96187,0.96092,0.99066,0.11694,0.85473,4.16138,0.34283,0.32583,0.03645,0,0.007459,0.007459,0.007459
79,1880.22,0.98784,1.77231,0.42728,0.45291,0.02479,13.9215,0.92434,0.95238,0.98242,0.77874,0.88619,0.96402,0.96743,0.12297,0.83665,3.96151,0.36933,0.36409,0.03474,0,0.007426,0.007426,0.007426
